,text,lable
0,يجب تعليم الطلاب التنافس,1.0
1,يجب تعليم الطلاب التعاون,1.0
2,المنافسة تجعل المجتمع أكثر فعالية,1.0
3,أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي,1.0
4,المنافسة تجعل الناس يكرهون بعضهم البعض,1.0
5,التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين,1.0
6,ذهبت و أخي إلى المدرسة,0.0
7,عبرت الشارع و الإشارة حمراء,0.0
8,أكلت تفاحة لذيذة,0.0
9,ذهب أبي إلى العمل,0.0
10,أنام باكراً من أجل المدرسة,0.0
11,مشهد الغروب جميل جداً,0.0
12,المزيد من الناس يهاجرون إلى بلدان أخرى أكثر من أي وقت مضى,1.0
13,يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى,1.0
14,يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً,1.0
15,أحب شرب الكحول في المناسبات,0.0
16,بيتنا أصبح صغير بعدما كبرنا,0.0
17,أكتب بالقلم الرصاص لأتمكن من التصحيح,0.0
18,أصبحت السياحة الدولية الآن أكثر شيوعًا من أي وقت مضى,1.0
19,السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية,1.0
20,في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية,1.0
21,هاتف أحمد يرن كثيراً,0.0
22,أحب الجلوس بجانب المدقئة في المساء,0.0
23,الماء الساخن يجعني أشعر بالسعادة,0.0
24,يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد,1.0
25,السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية,1.0
26,أشرب الماء بانتظام,0.0
27,أحب سماع الموسيقى الهادئة,0.0
28,العيش والدراسة في الخارج,1.0
29,يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج,1.0
30,تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة,1.0
31,الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه,1.0
32,الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء,1.0
33,اذهب لشراء حاجاتي لوحدي,0.0
34,استمتع كثيراً بالذهاب للتسوق برفقتك,0.0
35,اقبل هذه الهدية مني,0.0
36,مرحب بك متى ما شئت,0.0
37,ما رأيك في اللعب قليلاً,0.0
38,لماذا يجب عليك ممارسة الرياضة ؟,1.0
39,أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة,1.0
40,ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس,1.0
41,التمارين تقوي عضلات القلب,1.0
