text	lable
يجب تعليم الطلاب التنافس	1
يجب تعليم الطلاب التعاون	1
المنافسة تجعل المجتمع أكثر فعالية	1
أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي	1
المنافسة تجعل الناس يكرهون بعضهم البعض	1
التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين	1
ذهبت و أخي إلى المدرسة	0
عبرت الشارع و الإشارة حمراء	0
أكلت تفاحة لذيذة	0
ذهب أبي إلى العمل	0
أنام باكراً من أجل المدرسة	0
مشهد الغروب جميل جداً	0
المزيد من الناس يهاجرون إلى بلدان أخرى أكثر من أي وقت مضى	1
يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى	1
يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً	1
أحب شرب الكحول في المناسبات	0
بيتنا أصبح صغير بعدما كبرنا	0
أكتب بالقلم الرصاص لأتمكن من التصحيح	0
أصبحت السياحة الدولية الآن أكثر شيوعًا من أي وقت مضى	1
السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية	1
في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية	1
هاتف أحمد يرن كثيراً	0
أحب الجلوس بجانب المدقئة في المساء	0
الماء الساخن يجعني أشعر بالسعادة	0
يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد	1
السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية	1
أشرب الماء بانتظام	0
أحب سماع الموسيقى الهادئة	0
العيش والدراسة في الخارج	1
يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج	1
تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة	1
الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه	1
الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء	1
اذهب لشراء حاجاتي لوحدي	0
استمتع كثيراً بالذهاب للتسوق برفقتك	0
اقبل هذه الهدية مني	0
مرحب بك متى ما شئت	0
ما رأيك في اللعب قليلاً	0
لماذا يجب عليك ممارسة الرياضة ؟	1
أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة	1
ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس	1
التمارين تقوي عضلات القلب	1
عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ	1
يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت	1
ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم	1
بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية	1
التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة	1
معاوية يملك بنية جسدية جميلة	0
الأكل بدأ يبرد عليك أن تسرع و إلا لن تستطيع تناوله	0
ما رأيك أن اشتري لك أوراقاً أكبر من هذه	0
استيقظ قبل أن يفوتك موعد الباص لكي لا تذهاب مشياً 0
اكتب واجباتك اليوم حتى لا تجد نفسك في ورطة غداً	0
القلم الزرق أكثر جمالاً من القلم الأحمر	0
