,text,lable
0,يجب تعليم الطلاب التنافس,1
1,يجب تعليم الطلاب التعاون,1
2,المنافسة تجعل المجتمع أكثر فعالية,0
3,أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي,0
4,المنافسة تجعل الناس يكرهون بعضهم البعض,0
5,التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين,0
6,المزيد من الناس يهاجرون إلى بلدان أخرى أكثر من أي وقت مضى,1
7,يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى,0
8,يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً,0
9,أصبحت السياحة الدولية الآن أكثر شيوعًا من أي وقت مضى,1
10,السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية,0
11,في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية,0
12,يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد,0
13,السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية,0
14,العيش والدراسة في الخارج,1
15,يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج,0
16,تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة,0
17,الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه,0
18,الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء,0
19,لماذا يجب عليك ممارسة الرياضة؟,1
20,أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة,0
21,ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس,0
22,التمارين تقوي عضلات القلب,0
23,عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ,0
24,يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت,0
25,ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم,0
26,بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية,0
27,التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة,0
28,هل ستصبح الصحف شيئاً من الماضي؟,1
29,شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء,0
30,شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,0
31,نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,0
32,يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت,0
