text	lable
يجب تعليم الطلاب التنافس	1
يجب تعليم الطلاب التعاون	1
المنافسة تجعل المجتمع أكثر فعالية	0
أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي	0
المنافسة تجعل الناس يكرهون بعضهم البعض	0
التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين	0
المزيد من الناس يهاجرون إلى بلدان أخرى أكثر من أي وقت مضى	1
يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى	0
يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً	0
أصبحت السياحة الدولية الآن أكثر شيوعًا من أي وقت مضى	1
السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية	0
في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية	0
يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد	0
السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية	0
العيش والدراسة في الخارج	1
يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج	0
تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة	0
الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه	0
الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء	0
لماذا يجب عليك ممارسة الرياضة؟	1
أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة	0
ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس	0
التمارين تقوي عضلات القلب	0
عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ	0
يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت	0
ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم	0
بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية	0
التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة	0
هل ستصبح الصحف شيئاً من الماضي؟	1
شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء	0
شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	0
نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	0
يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت	0
بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى	0
تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها	0
التكنولوجيا لا تستطيع أن تحل كل مشاكل العالم!	1
إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة	0
عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا	0
أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم	0
هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة	0
مسألة عدم الزواج من نفس الجنس	1
