,text,lable
0,المنافسة تجعل المجتمع أكثر فعالية,1
1,أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي,1
2,المنافسة تجعل الناس يكرهون بعضهم البعض ,0
3,التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين,0
4,يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى,1
5,يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً,0
6,السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية,1
7,في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية,0
8,يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد,1
9,السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية,0
10,يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج,0
11,تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة,1
12,الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه,1
13,الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء,0
14,أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة,1
15,ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس,1
16,التمارين تقوي عضلات القلب,1
17,عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ,1
18,يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت,0
19,ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم,0
20,بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية,0
21,التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة,0
22,شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء,1
23,شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,1
24,نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,1
25,يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت,0
26,بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى,0
27,تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها,0
28,إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة,1
29,عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا,0
30,أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم,0
31,هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة,0
32,لا يوجد أي سبب قانوني أو منطقي أو حاكم على الإطلاق يمنع الأزواج من نفس الجنس ، ومن غير الدستوري تمامًا في كل الأحوال إخبارهم بأنهم لا يستطيعون ذلك,1
33,الأشخاص الذين ينجذبون إلى نفس الجنس يشعرون بالدونية ويبدون أدنى من الآخرين,1
34,يعد قضاء الوقت في التخييم طريقة رائعة لتنشيط الرئتين,1
35,جزء آخر رائع عن التخييم هو التواجد في الخارج تحت أشعة الشمس,1
36,يتيح التخييم لأي شخص إمكانية الذهاب إلى أماكن لم يسبق لها مثيل من قبل,1
37,التخييم له متطلبات مادية قد لا يمكن تحملها,0
38,التخييم في أماكن لا يجب التخييم بها قد يعود بمشكلات نحن بغنىً عنها,0
39,نسبة كبيرة من التلوث في الطبيعة سببه المخييمين الغير مهذبين,0
40,الفحوصات مطلوبة لأن الطلاب الخبثاء يجلبون المخدرات والأسلحة إلى المدرسة ويخزنونها في الخزائن,0
41,تساعد عمليات فحص الخزانة على زيادة السلامة في المدارس,1
42,تساعد عمليات التحقق من الخزانة الطلاب على البقاء بصحة جيدة جسديًا وعقليًا لأنها تثني الطلاب عن إحضار الأسلحة النارية وخاصة المخدرات,0
43,فحص خزائن الطلاب يعتبرانتهاك لخصوصياتهم,1
44,بعض الطلاب تخبئ في الخزانة أغلاض لا ترغب لأحد أن يراها,1
45,خزائن الفتيات يجب أن تكون خصوصية قصوى و لا ينبغي على أحد رؤية ما بداخلها,1
46,مع الاتجاه الحالي للتكنولوجيا المتغيرة باستمرار ، لا يمكن إنكار إمكانية استبدال العديد من الوظائف,1
47,صحيح أن التكنولوجيا وأجهزة الكمبيوتر تجعل وظائفهم أسهل ، لكنها بالتأكيد لا يمكن أن تحل محلها,0
48,مع التطور السريع لمستوى حياة الناس ، يتم إجراء عدد متزايد من التجارب على الحيوانات ، مثل الأدوية والأطعمة الجديدة,1
49,يقول بعض المعارضين إنه أمر قاس على الحيوانات والطبيعة,0
50,لتخفيف هذا الاختلاف ومساعدة البلدان الأقل ثراءً ، يجب على الدول الأغنى أن تبذل جهودًا لتحسين المجالات المهمة في البلدان الأقل ثراءً,1
51,في الوقت الحاضر ، يشارك الرجال والنساء على قدم المساواة في كل مجال,1
52,في الماضي ، كانت النساء يعملن في المنزل ويؤدين عملاً متطورًا,0
53,يقول بعض الناس أن زيارة المتاحف ليست سوى شكل من أشكال الترفيه,1
54,يختلف آخرون ، بحجة أن المتاحف تلعب دورًا في التعليم,1
55,الطريقة الأكثر فعالية لإقناع المستهلكين بشراء منتج هي من خلال الإعلان,1
56,وفيما يتعلق بتنمية الدولة ، يعتقد البعض أنه من الضروري للطلاب الصغار الحصول على تعليم عالي الجودة في الجامعات,1
57,هناك العديد من فرص العمل لأولئك الذين ليس لديهم شهادة التخرج من الجامعة ، مثل الميكانيكيين أو مندوبي المبيعات,0
58,جلبت شعبية الهواتف المحمولة الكثير من الراحة,1
59,يسود ذعر بين الناس من أن محادثتهم يمكن أن يعترضها الطرف الثالث,0
60,يعتقد بعض الناس أن الكمبيوتر مفيد للأطفال ويجب استخدامه يوميًا من قبل الأطفال,0
61,استخدام الكمبيوتر باستمرار له تأثير سيء على عيون الأطفال,1
62,الأطفال الذين يمارسون الألعاب كثيرًا على الكمبيوتر قد يفتقرون بشكل خطير إلى مهارات الاتصال ، ولن يعرفوا سوى القليل عن الحياة الخارجية,1
63,تعتبر المباني الصناعية جزءًا ضروريًا من المجتمع الحديث,0
64,يعارض عدد كبير من الناس بناء مصنع بالقرب من مجتمعهم بسبب التلوث,1
65,يبدأ المزيد والمزيد من الناس في اختيار الأطعمة الجاهزة كوجباتهم اليومية,1
66,لكن من الواضح أن الطعام المطبوخ يمكن أن يحدث بعض التأثير السلبي الناتج عن استخدام المكونات الاصطناعية وتجاهل تغذية الطعام وتعديل عادات الأكل لدى الناس,0
67,هناك فجوة متزايدة بين البلدان المتقدمة والبلدان النامية,0
68,تفتقر معظم البلدان النامية إلى الموارد التعليمية,0
69,فهي تتسبب فقط في الإضرار بالمجتمع ويجب حظر جميع أشكال الإعلان,0
70,بفضل الإعلانات التي نتعرف عليها حول المنتجات الجديدة ، يمكننا مقارنتها واختيار الأفضل بالنسبة لنا,1
