text	lable
المنافسة تجعل المجتمع أكثر فعالية	1
أعتقد اعتقادا راسخا أنه ينبغي لنا أن نولي أهمية أكبر للتعاون أثناء التعليم الابتدائي	1
المنافسة تجعل الناس يكرهون بعضهم البعض 	0
التعاون يبدي ناقط ضعف الفرد للأفراد الآخرين	0
يهاجر الناس لعدد من الأسباب ، مثل التعليم الأفضل أو الوظائف ذات الرواتب الأعلى	1
يجب على المهاجرين اتباع العادات المحلية من أجل الاندماج في ثقافات البلدان التي اعتمدوها مما يؤدي نسيانهم لعاداتهم الأصلية تدريجياً	0
السياح أدت السياحة الدولية إلى التنمية الاقتصادية وحافظت على القيم الثقافية والبيئية للبلدان السياحية	1
في بعض المناطق قد يكون هناك خطر على حياة السياح بسبب الطبيعة العدائية لسكانها أو طبيعة المنطقة الجغرافية	0
يعتقد البعض أن السياحة تجلب ربحًا كبيرًا لبلدان المقصد	1
السياح من ثقافات مختلفة من المحتمل أن يتسببوا في تغييرات في الهوية الثقافية للوجهات السياحية	0
يفضل البعض الدراسة في المنزل بسبب صعوبات المعيشة والدراسة في الخارج	0
تمنح الدراسة في إحدى الجامعات الأجنبية الفرصة للأفراد لتحسين المهارات الاجتماعية من خلال التفاعل والتواصل مع الطلاب من أصول وثقافات مختلفة	1
الشخص الذي درس وعاش في الخارج سيصبح مؤهلاً للحصول على الوظيفة أكثر من أقرانه	1
الشخص الذي يعيش في الخارج سيكافح بالطبع مع الشعور بالوحدة ، ويعيش بعيدًا عن العائلة والأصدقاء	0
أكثر من 1.6 مليار شخص في العالم يعانون من زيادة الوزن أو السمنة	1
ثبت أن ممارسة الرياضة والنشاط يمكن أن يحسن احترام الذات والثقة بالنفس	1
التمارين تقوي عضلات القلب	1
عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ	1
يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت	0
ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم	0
بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية	0
التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة	0
شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء	1
شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	1
نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	1
يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت	0
بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى	0
تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها	0
إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة	1
عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا	0
أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم	0
هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة	0
لا يوجد أي سبب قانوني أو منطقي أو حاكم على الإطلاق يمنع الأزواج من نفس الجنس ، ومن غير الدستوري تمامًا في كل الأحوال إخبارهم بأنهم لا يستطيعون ذلك	1
الأشخاص الذين ينجذبون إلى نفس الجنس يشعرون بالدونية ويبدون أدنى من الآخرين	1
يعد قضاء الوقت في التخييم طريقة رائعة لتنشيط الرئتين	1
جزء آخر رائع عن التخييم هو التواجد في الخارج تحت أشعة الشمس	1
يتيح التخييم لأي شخص إمكانية الذهاب إلى أماكن لم يسبق لها مثيل من قبل	1
التخييم له متطلبات مادية قد لا يمكن تحملها	0
